Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
STAMFORD SCHOOL DISTRICT,Connecticut,="0904320",1209.50,1159.50,12.43,12.97,7.00,83.05,755.75,339.70,24.00,2200.20,285.00,97.80,12.00,19.60,†,31.60,20.00,37.00,28.30,47.00,49.00,26.00,22.00,347.00
STANBERRY R-II,Missouri,2929340,32.73,32.67,10.24,10.25,1.29,2.00,13.04,16.40,†,59.56,7.83,0,="0.50",1.00,†,1.50,0,0,1.00,3.50,2.00,0,2.00,9.00
STANDARD ELEMENTARY,California,="0637890",129.00,129.00,22.07,22.07,–,–,120.99,8.01,†,228.00,19.00,–,–,–,†,–,–,–,4.00,–,8.00,–,6.00,62.00
STANDING ROCK SPECIAL ED UNIT,North Dakota,3800055,8.00,8.00,0,†,0,1.00,3.00,4.00,†,8.00,0,0,–,–,†,–,0,0,0,0,0,0,0,0
STANDISH-STERLING COMMUNITY SCHOOLS,Michigan,2632940,87.40,87.40,20.82,20.62,1.00,6.00,28.80,41.75,9.85,202.02,25.00,4.10,1.00,2.00,†,3.00,1.00,0,3.00,1.50,6.00,7.10,9.50,54.42
STANFIELD ELEMENTARY DISTRICT,Arizona,="0408130",39.50,39.50,18.03,17.87,="0.15",4.00,35.35,0,†,87.30,11.00,0,1.00,0,†,1.00,1.00,1.00,1.00,0,2.80,6.00,7.00,17.00
STANFIELD SD 61,Oregon,4111790,31.43,31.42,18.61,18.24,0,1.55,20.65,9.23,†,64.13,10.55,0,–,–,2.00,2.00,0,1.60,="0.50",3.00,1.50,1.80,0,11.75
STANFORD K-12 SCHOOLS,Montana,3024990,15.81,15.80,7.40,7.41,–,–,9.87,5.94,†,19.65,2.00,0,="0.28",="0.14",†,="0.42",="0.42",–,0,–,1.00,–,0,–
STANHOPE,New Jersey,3415720,35.00,34.00,11.60,11.79,2.00,2.00,25.00,5.00,1.00,57.00,6.00,1.00,0,0,†,0,1.00,–,2.00,3.00,1.00,2.00,3.00,3.00
STANISLAUS COUNTY OFFICE OF EDUCATION,California,="0691041",127.20,127.20,14.87,14.87,–,–,96.39,30.81,†,480.30,258.00,–,–,–,†,–,–,–,27.48,–,17.15,–,40.47,10.00
STANISLAUS UNION ELEMENTARY,California,="0637950",130.50,130.50,24.29,24.25,–,–,124.64,5.86,†,206.80,38.00,–,–,–,†,–,–,–,4.00,–,7.00,–,10.30,17.00
STANLEY 2,North Dakota,3817570,38.36,38.36,10.95,10.95,="0.35",2.28,16.73,19.00,†,77.80,13.00,="0.25",–,–,1.00,1.00,1.00,="0.81",2.13,0,1.75,1.00,2.00,16.50
STANLEY COUNTY SCHOOL DISTRICT 57-1,South Dakota,4624850,38.00,38.00,12.66,12.66,="0.20",2.00,20.50,12.15,3.15,75.55,9.00,0,–,–,2.00,2.00,0,1.00,3.95,1.00,1.75,2.50,3.05,13.30
STANLEY-BOYD AREA SCHOOL DISTRICT,Wisconsin,5514430,66.42,66.42,14.62,14.62,2.00,4.00,26.17,34.25,0,112.09,3.21,0,="0.50",1.50,†,2.00,1.00,="0.65",1.00,7.92,2.00,3.56,3.10,21.23
STANLY COUNTY SCHOOLS,North Carolina,3704320,678.67,674.84,13.93,14.00,14.00,0,392.21,268.63,3.83,1266.62,164.85,8.00,14.00,15.50,†,29.50,19.00,0,7.95,26.30,33.35,51.97,50.80,196.23
STANNARD SCHOOL DISTRICT,Vermont,5007710,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STANTON COMM SCHOOL DISTRICT,Iowa,1927240,23.97,23.37,8.93,11.17,="0.60",1.39,9.38,12.60,†,41.17,4.30,="0.50",0,1.00,†,1.00,0,="0.10",1.00,2.90,1.00,0,0,6.40
STANTON COMMUNITY SCHOOLS,Nebraska,3100041,37.16,37.16,12.59,12.59,="0.16",2.00,17.37,17.63,†,66.19,5.50,0,="0.50",="0.50",†,1.00,1.00,0,1.00,1.50,2.00,3.50,1.03,12.50
STANTON COUNTY,Kansas,2007860,39.60,39.60,12.50,12.50,0,2.00,17.10,20.50,0,72.30,6.30,0,="0.40",1.60,†,2.00,2.00,1.10,1.00,1.70,3.00,2.70,3.60,9.30
STANTON ISD,Texas,4841430,72.97,68.35,10.74,11.47,1.00,4.34,28.35,29.56,9.72,138.27,14.90,2.00,–,–,2.00,2.00,0,1.00,2.08,2.00,3.00,3.00,10.22,25.10
STANTON TOWNSHIP PUBLIC SCHOOLS,Michigan,2632970,8.50,8.50,16.94,16.71,0,="0.50",5.00,3.00,0,19.50,3.00,0,0,0,†,0,0,0,2.00,0,0,2.00,="0.25",3.75
STANWOOD-CAMANO SCHOOL DISTRICT,Washington,5308340,255.74,253.21,20.06,20.26,2.00,7.00,123.89,114.74,8.11,493.66,50.67,0,2.25,5.75,†,8.00,7.80,2.85,5.00,8.53,12.50,26.27,12.20,104.10
STAPLES-MOTLEY SCHOOL DISTRICT,Minnesota,2733900,80.37,80.18,15.89,16.00,2.23,5.17,36.85,35.93,="0.19",183.49,32.63,1.27,0,="0.67",†,="0.67",="0.67",2.68,4.60,5.80,4.03,6.40,13.15,31.22
STAPLETON PUBLIC SCHOOLS,Nebraska,3177100,18.80,18.80,9.36,9.36,="0.10",0,8.40,10.30,†,36.90,6.00,="0.10",="0.10",="0.40",†,="0.50",="0.50",0,="0.45",0,1.50,1.60,="0.45",7.00
STAR ACADEMY OF TOLEDO,Ohio,3901298,9.40,9.40,21.60,21.60,0,1.04,6.27,2.09,0,29.01,1.00,0,–,–,†,–,0,0,1.14,4.84,0,0,7.00,5.63
STAR CITY SCHOOL DISTRICT,Arkansas,="0500028",131.00,131.00,13.29,13.29,1.00,10.00,57.00,52.00,11.00,271.00,26.00,3.00,2.00,3.00,†,5.00,4.00,0,6.00,10.00,7.00,11.00,28.00,40.00
STAR INTERNATIONAL ACADEMY,Michigan,2600228,69.64,69.64,18.93,18.72,="0.15",5.00,29.73,30.80,3.96,181.47,45.63,9.92,0,0,4.00,4.00,0,0,4.20,1.60,5.60,3.82,3.42,33.64
STAR ISD,Texas,4841460,12.99,13.00,5.93,5.92,="0.43",="0.47",3.85,8.11,="0.13",20.83,2.00,0,–,–,†,–,0,0,1.00,0,0,1.00,0,3.84
STAR SCHOOL DISTRICT,Washington,5308370,3.00,3.00,4.00,4.00,0,0,3.00,0,0,4.63,0,0,0,0,†,0,0,0,0,="0.28",0,0,0,1.35
STARBUCK SCHOOL DISTRICT,Washington,5308400,2.00,2.00,12.50,12.50,0,0,2.00,0,0,3.80,0,0,0,0,†,0,0,0,0,="0.38",0,0,0,1.42
STARK COUNTY AREA,Ohio,3906202,42.00,31.00,0,0,0,0,0,39.00,3.00,105.00,4.00,0,–,–,4.00,4.00,0,1.00,1.00,18.00,0,24.00,1.00,10.00
STARK COUNTY CUSD 100,Illinois,1737490,66.16,66.16,13.13,12.92,1.00,3.00,35.00,27.16,0,71.16,–,0,0,0,1.00,1.00,1.00,–,1.00,–,2.00,–,0,–
STARK COUNTY ESC,Ohio,3904982,56.00,†,0,†,19.00,0,8.44,13.39,15.17,264.30,70.75,0,–,–,†,–,0,0,3.00,62.95,0,0,38.60,33.00
STARK SCHOOL DISTRICT,New Hampshire,3306330,4.50,4.50,14.44,5.78,0,="0.50",4.00,0,†,8.60,1.00,–,="0.30",0,†,="0.30",0,="0.20",0,0,="0.50",="0.60",–,1.50
STARKSBORO SCHOOL DISTRICT,Vermont,5007740,15.20,15.20,10.53,10.53,0,1.00,13.60,0,="0.60",32.28,9.33,0,="0.60",0,†,="0.60",="0.60",1.15,0,0,1.00,1.20,1.10,2.10
STARKVILLE SCHOOL DISTRICT,Mississippi,2804140,275.22,272.21,14.97,15.14,1.90,12.72,104.99,110.14,45.47,601.09,77.24,3.50,4.76,7.58,†,12.34,7.79,4.00,7.00,20.12,20.13,19.67,16.37,137.71
STARKWEATHER 44,North Dakota,3817670,11.96,11.96,7.19,7.19,="0.50",1.00,4.27,6.19,†,20.99,1.32,="0.01",–,–,="0.10",="0.10",="0.25",0,1.52,0,="0.87",="0.50",0,4.46
STARMONT COMM SCHOOL DISTRICT,Iowa,1927270,55.73,54.62,12.69,12.49,2.11,5.20,24.63,23.79,†,99.63,15.80,1.00,0,2.00,†,2.00,1.00,1.30,2.00,4.40,2.00,0,0,14.40
STARPOINT CENTRAL SCHOOL DISTRICT,New York,3628050,218.76,214.04,12.60,12.88,0,15.33,82.42,91.44,29.57,356.55,34.00,="0.50",2.66,5.33,†,7.99,4.00,0,3.00,20.00,7.00,4.30,14.00,43.00
STARS PREP ACADEMY - SCOTTSDALE  INC.,Arizona,="0400449",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
STARSHINE ACADEMY,Arizona,="0400416",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STARVED ROCK FOR VOC TECH ED,Illinois,1700283,0,†,†,†,0,0,0,0,0,1.50,–,1.00,0,0,†,0,0,–,="0.50",–,0,–,0,–
STATE CHARTER SCHOOL INSTITUTE,Colorado,="0800020",372.77,372.79,17.65,17.65,="0.41",37.87,186.93,147.56,†,648.43,76.34,11.39,1.00,13.70,†,14.70,1.00,="0.99",15.41,4.59,36.43,41.17,32.43,41.21
STATE CHARTER SCHOOLS- MOUNTAIN EDUCATION CENTER SCHOOL,Georgia,1300214,51.20,51.20,18.75,18.75,0,0,="0.80",50.40,0,79.70,9.20,0,0,1.30,†,1.30,0,0,="0.50",3.00,="0.50",8.80,5.20,0
STATE CHARTER SCHOOLS- ODYSSEY SCHOOL,Georgia,1300023,114.20,112.20,44.74,45.53,0,0,81.00,33.20,0,128.20,8.00,0,0,0,†,0,0,="0.50",1.00,0,="0.50",2.00,1.00,1.00
STATE CHARTER SCHOOLS- SCHOLARS ACADEMY CHARTER SCHOOL,Georgia,1300216,5.00,5.00,25.60,25.60,0,1.00,4.00,0,0,11.10,2.00,0,0,0,†,0,0,0,1.30,="0.50",="0.50",="0.80",0,1.00
STATE COLLEGE AREA SD,Pennsylvania,4222770,553.33,545.23,12.69,12.88,0,21.00,202.83,283.00,46.50,1285.57,233.00,9.50,9.20,13.00,†,22.20,13.00,19.00,10.00,31.50,21.00,40.00,30.24,302.80
STATE FAIR COMMUNITY COLLEGE,Missouri,2900005,7.68,10.00,0,0,0,0,0,7.68,†,9.68,0,0,0,1.00,†,1.00,0,0,1.00,0,0,0,0,0
STATE OF MICHIGAN,Michigan,2600948,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STATE OPERATIVE AGENCY,District of Columbia,1100078,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STATE SCHOOLS,Georgia,1300022,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STATE-SPONSORED CHARTER SCHOOLS,Nevada,3200001,181.75,181.75,27.99,27.99,0,7.00,66.80,89.45,18.50,205.55,–,–,0,1.60,2.50,4.10,0,–,5.00,–,10.00,–,="0.70",4.00
STATESVILLE HOUSING AUTHORITY,North Carolina,3700159,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STAUNTON CITY PBLC SCHS,Virginia,5103690,125.93,125.92,21.69,21.69,4.00,6.00,42.83,73.10,†,468.60,57.00,36.25,4.00,5.00,1.00,10.00,3.00,6.00,7.00,12.00,11.00,16.00,6.00,178.42
STAUNTON CUSD 6,Illinois,1737590,86.59,69.09,14.42,18.47,3.50,4.14,43.17,35.78,0,101.09,–,1.00,="0.50",1.00,†,1.50,1.00,–,1.00,–,2.00,–,8.00,–
STE. GENEVIEVE CO. R-II,Missouri,2929370,141.24,140.00,14.42,14.55,2.92,8.82,53.03,76.47,†,251.72,25.70,2.58,2.09,2.80,†,4.89,2.00,0,2.99,17.00,5.50,0,10.12,39.70
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,Colorado,="0806660",162.40,162.41,13.25,13.25,0,11.91,79.77,70.72,†,295.44,30.70,6.36,2.00,6.04,†,8.04,4.30,3.54,6.79,9.97,8.21,13.83,1.89,39.41
STEEL CENTER AVTS,Pennsylvania,4280050,27.00,27.00,0,0,0,0,0,25.00,2.00,45.00,3.00,0,0,2.00,†,2.00,0,="0.50",0,1.00,2.00,3.50,0,6.00
STEEL VALLEY SD,Pennsylvania,4222790,147.50,147.50,12.47,12.47,0,7.00,60.40,78.10,2.00,250.80,17.00,1.30,2.00,3.00,†,5.00,4.00,0,3.70,6.50,9.00,10.00,3.80,43.00
STEELEVILLE CUSD 138,Illinois,1737650,32.39,32.39,13.71,13.52,0,2.00,17.00,13.39,0,34.99,–,0,0,0,="0.60",="0.60",0,–,1.00,–,0,–,1.00,–
STEELTON-HIGHSPIRE SD,Pennsylvania,4222800,107.00,107.00,11.56,11.56,2.00,5.00,40.50,42.50,17.00,195.00,20.00,3.00,2.00,2.00,†,4.00,2.00,0,5.00,5.00,9.00,7.00,3.00,30.00
STEELVILLE R-III,Missouri,2929430,78.57,79.70,12.28,12.11,1.00,7.23,25.92,44.42,†,146.27,15.00,="0.55",1.00,2.00,†,3.00,1.80,1.00,1.35,8.00,2.00,0,2.00,33.00
STEGER SD 194,Illinois,1737680,129.50,129.50,12.42,12.34,2.00,9.00,118.50,0,0,145.50,–,0,0,0,†,0,1.00,–,3.00,–,5.00,–,7.00,–
STEHEKIN SCHOOL DISTRICT,Washington,5308430,1.00,1.00,23.00,23.00,0,0,="0.78",="0.22",0,2.47,="0.83",0,0,0,†,0,0,0,0,="0.30",0,0,0,="0.34"
STEILACOOM HIST. SCHOOL DISTRICT,Washington,5308460,201.96,199.98,27.42,27.69,2.00,13.83,109.29,76.27,="0.57",308.48,16.54,0,5.00,2.99,†,7.99,1.00,2.80,3.00,5.50,7.67,10.72,9.54,41.76
STEP UP SCHOOLS  INC.,Arizona,="0400040",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,Texas,4801395,12.33,12.33,17.92,17.92,0,2.40,9.93,0,0,18.96,2.90,0,–,–,="0.24",="0.24",0,0,="0.50",1.29,="0.50",0,1.20,0
STEPHEN-ARGYLE CENTRAL SCHOOLS,Minnesota,2700127,26.14,25.48,13.31,13.66,="0.40",2.00,12.33,11.15,="0.26",64.02,12.90,1.00,0,="0.34",†,="0.34",0,0,="0.92",1.00,1.50,3.00,5.72,11.50
STEPHENS COUNTY,Georgia,1304560,331.90,332.00,12.42,12.41,6.00,21.50,175.70,128.70,0,711.20,107.00,="0.40",4.00,5.00,†,9.00,7.00,5.00,8.30,3.00,16.20,20.00,19.50,183.90
STEPHENS SCHOOL DISTRICT,Arkansas,="0512870",46.00,46.00,8.26,8.26,0,6.00,20.00,16.00,4.00,98.00,9.00,4.00,1.00,1.00,†,2.00,2.00,0,2.00,2.00,2.00,5.00,11.00,13.00
STEPHENSON AREA PUBLIC SCHOOLS,Michigan,2633000,43.00,43.00,17.49,17.30,0,2.50,16.62,19.88,4.00,80.17,8.44,1.00,0,1.00,†,1.00,0,="0.67",2.00,1.00,3.00,5.00,1.05,14.01
STEPHENVILLE ISD,Texas,4841520,232.86,233.39,15.26,15.22,4.00,14.00,93.25,94.00,27.61,424.15,49.87,6.00,–,–,9.00,9.00,5.00,0,3.00,14.18,10.00,15.00,15.30,63.94
STEPPING STONES ACADEMY,Arizona,="0400187",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
STEPPING STONES CHARTER EL,Texas,4800275,14.00,14.00,14.50,14.50,0,2.28,11.72,0,0,23.68,0,0,–,–,†,–,0,0,="0.50",0,="0.50",2.00,2.68,4.00
STEPTOE SCHOOL DISTRICT,Washington,5308490,3.68,3.68,10.60,10.60,0,="0.64",2.12,="0.92",0,7.18,="0.65",0,0,0,†,0,0,0,="0.10",="0.61",="0.32",0,0,1.82
STERLING,Oklahoma,4028590,30.00,30.00,13.70,13.70,2.00,2.00,16.10,9.90,†,57.00,4.00,0,="0.30",="0.70",†,1.00,="0.20",2.00,1.00,1.40,2.20,4.00,="0.30",10.90
STERLING,Kansas,2012030,48.90,47.90,11.04,11.27,1.00,1.00,22.00,23.90,1.00,79.20,0,0,="0.50",1.00,†,1.50,1.00,2.00,1.00,1.00,2.00,4.00,1.00,16.80
STERLING 35,North Dakota,3817760,4.80,4.80,4.79,4.79,0,="0.70",4.10,0,†,8.22,0,0,–,–,="0.07",="0.07",0,0,="0.40",0,="0.80",0,0,2.15
STERLING CITY ISD,Texas,4841550,26.70,†,7.49,7.29,0,1.22,9.31,13.71,2.46,51.87,4.00,="0.17",–,–,="0.63",="0.63",0,1.51,1.00,3.00,2.00,2.00,1.00,9.86
STERLING CUSD 5,Illinois,1742310,218.05,218.05,16.53,16.27,5.00,13.33,138.06,61.66,0,249.40,–,1.00,7.00,3.75,†,10.75,1.00,–,4.00,–,10.00,–,4.60,–
STERLING MONTESSORI ACADEMY,North Carolina,3700046,39.00,38.00,17.38,17.66,0,3.00,35.00,0,1.00,69.00,22.00,2.00,0,0,†,0,0,0,3.00,0,1.00,1.00,1.00,0
STERLING PUBLIC SCHOOLS,Nebraska,3177190,20.74,20.74,10.41,10.41,0,1.00,11.84,7.90,†,38.60,5.50,0,="0.58",="0.30",†,="0.88",="0.50",="0.50",="0.60",0,="0.88",1.00,0,8.00
STERLING SCHOOL DISTRICT,Connecticut,="0904350",37.00,36.00,13.73,14.08,1.00,2.00,33.00,0,1.00,112.04,36.00,2.60,0,0,†,0,1.00,1.00,2.65,3.00,1.00,1.25,4.50,22.04
STERLING SCHOOL DISTRICT,New Jersey,3402880,79.00,70.00,13.04,14.71,0,0,11.00,59.00,9.00,171.00,16.00,6.00,0,5.00,†,5.00,1.00,–,3.00,7.00,3.00,9.00,4.00,38.00
STET R-XV,Missouri,2929470,12.89,12.92,6.21,6.19,0,1.09,3.88,7.92,†,23.24,2.54,0,="0.25",="0.25",†,="0.50",="0.60",0,1.00,2.25,="0.27",0,="0.44",2.75
STEUBENVILLE CITY,Ohio,3904482,144.70,144.70,16.52,16.52,9.50,8.75,61.20,63.35,1.90,278.95,28.00,7.00,–,–,4.00,4.00,="0.60",3.00,3.00,9.00,8.00,11.90,9.75,50.00
STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Wisconsin,5514490,451.50,450.30,16.36,16.40,6.00,29.05,207.70,208.75,0,863.53,126.95,3.00,0,7.00,†,7.00,6.50,12.80,5.00,23.76,17.00,19.53,46.91,143.58
STEVENSON-CARSON SCHOOL DISTRICT,Washington,5308520,56.33,†,25.71,25.86,0,0,27.61,28.72,0,111.73,15.14,0,="0.80",1.10,†,1.90,0,1.80,1.00,2.49,4.00,3.31,1.00,24.76
STEVENSVILLE ELEM,Montana,3025020,40.83,40.83,14.82,14.82,–,–,40.83,0,†,63.44,15.00,0,1.55,0,†,1.55,1.86,–,="0.50",–,2.00,–,1.70,–
STEVENSVILLE H S,Montana,3025050,27.07,27.08,13.52,13.52,–,–,0,27.07,†,37.68,4.00,="0.41",0,2.00,†,2.00,1.00,–,="0.50",–,2.00,–,="0.70",–
STEWARD ESD 220,Illinois,1737800,10.70,9.70,7.57,8.35,0,="0.50",10.20,0,0,11.70,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
STEWARDSON-STRASBURG CUD 5A,Illinois,1737830,35.66,35.66,11.86,11.75,1.00,2.00,16.00,16.66,0,41.66,–,0,0,0,1.00,1.00,1.00,–,1.00,–,2.00,–,1.00,–
STEWART COUNTY,Georgia,1304590,48.00,48.10,11.25,11.23,2.00,4.00,21.40,20.60,0,121.10,16.80,2.00,="0.50",1.00,†,1.50,0,0,3.30,2.00,3.50,5.00,4.00,35.00
STEWART COUNTY,Tennessee,4703960,146.50,†,15.58,16.25,6.00,9.00,81.00,47.50,3.00,357.50,58.00,3.00,1.00,1.00,4.00,6.00,4.00,4.00,1.00,2.00,7.00,8.00,0,118.00
STEWARTSTOWN SCHOOL DISTRICT,New Hampshire,3306360,9.40,9.40,12.77,8.62,0,1.00,8.40,0,†,19.80,3.00,–,="0.20",0,†,="0.20",0,1.00,0,0,1.00,1.00,–,4.20
STEWARTSVILLE C-2,Missouri,2929490,13.76,24.10,19.26,11.00,0,0,5.08,8.68,†,22.26,0,0,0,0,†,0,0,0,0,3.00,0,0,0,5.50
STEWARTVILLE PUBLIC SCHOOL DISTRICT,Minnesota,2738160,106.21,104.82,16.83,16.91,1.80,7.24,46.49,49.84,="0.84",191.62,28.98,3.30,1.00,2.00,†,3.00,1.00,1.81,4.80,4.00,3.60,7.80,19.74,7.38
STICKNEY SCHOOL DISTRICT 01-2,South Dakota,4669540,15.24,15.24,8.66,8.66,="0.22",="0.78",7.72,5.71,="0.81",34.95,1.75,="0.05",–,–,†,–,="0.10",0,1.79,1.00,="0.62",0,1.00,13.40
STIDHAM,Oklahoma,4028620,8.30,8.30,12.17,12.17,1.00,0,7.30,0,†,15.80,1.00,0,0,0,†,0,="0.70",="0.30",="0.70",0,0,="0.80",="0.20",3.80
STIGLER,Oklahoma,4028650,84.10,84.10,15.92,15.92,0,4.00,32.40,47.70,†,158.40,18.70,="0.60",1.10,2.00,†,3.10,2.00,0,1.00,3.50,3.40,5.80,10.50,25.70
STILLWATER,Oklahoma,4028680,360.00,359.50,15.69,15.72,19.00,25.90,156.20,158.90,†,773.00,103.30,1.50,7.00,9.00,†,16.00,9.00,9.00,3.00,34.80,15.70,39.10,31.60,150.00
STILLWATER,Montana,3000077,–,†,†,†,–,–,0,0,†,–,0,0,0,0,†,0,0,–,0,–,0,–,0,–
STILLWATER AREA PUBLIC SCHOOL DIST.,Minnesota,2738190,424.63,420.95,20.85,20.21,8.97,25.90,188.52,198.23,3.01,852.58,116.90,2.57,0,11.37,†,11.37,4.20,="0.73",12.58,17.95,18.00,29.95,108.83,104.87
STILLWATER CENTRAL SCHOOL DISTRICT,New York,3628110,102.70,109.04,12.23,11.52,1.14,5.71,37.33,40.71,17.81,213.19,25.00,0,1.33,2.66,†,3.99,2.00,3.00,1.00,12.00,4.00,1.00,6.00,52.50
STILLWATER TOWNSHIP SCHOOL,New Jersey,3415750,40.00,37.00,9.95,10.76,2.00,2.00,29.00,4.00,3.00,60.00,7.00,0,0,0,†,0,0,–,2.00,2.00,1.00,2.00,4.00,2.00
STILLWATER/SWT GRASS COOP,Montana,3000078,="0.80",†,†,†,–,–,="0.80",0,†,7.52,0,0,0,0,†,0,0,–,1.00,–,0,–,5.72,–
STILWELL,Oklahoma,4028710,98.00,98.00,14.10,14.10,6.80,3.00,25.20,63.00,†,190.30,22.00,0,1.00,4.00,†,5.00,3.00,0,1.00,3.70,3.90,10.00,10.40,33.30
STO-ROX SD,Pennsylvania,4222830,101.79,101.79,13.51,13.51,0,6.00,40.31,46.19,9.29,212.66,25.00,2.00,1.00,2.06,†,3.06,3.00,0,4.00,12.00,7.76,3.50,5.05,45.50
STOCKBRIDGE COMMUNITY SCHOOLS,Michigan,2633030,94.29,94.29,17.83,17.65,="0.58",2.50,33.30,41.95,15.96,193.15,23.33,2.61,0,3.00,†,3.00,1.00,0,6.54,1.00,4.99,10.12,13.94,32.33
STOCKBRIDGE SCHOOL DISTRICT,Wisconsin,5514520,23.77,23.77,8.41,8.41,1.00,1.00,7.63,14.14,0,41.60,7.00,0,0,0,1.00,1.00,="0.60",0,="0.80",1.00,1.00,1.50,="0.10",4.83
STOCKBRIDGE SCHOOL DISTRICT,Vermont,5007770,6.17,6.17,15.07,10.53,0,1.00,5.17,0,0,12.45,1.00,0,="0.30",0,†,="0.30",="0.20",0,0,0,1.00,1.00,="0.15",2.63
STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,New York,3628140,42.38,43.40,11.75,11.47,0,2.65,17.19,19.45,3.09,84.84,8.40,0,0,1.00,†,1.00,0,0,1.16,5.00,1.25,="0.25",1.00,24.40
STOCKDALE ISD,Texas,4841610,70.85,†,11.38,11.38,1.00,3.50,24.73,31.58,10.04,121.94,14.22,1.00,–,–,2.00,2.00,1.00,0,3.00,2.00,3.00,4.00,2.00,18.87
STOCKTON,Kansas,2012060,31.90,25.90,9.06,11.16,1.00,1.50,10.50,18.90,0,48.90,0,0,0,2.00,†,2.00,1.00,0,0,2.00,2.00,2.00,1.00,7.00
STOCKTON BOROUGH SCHOOL DISTRICT,New Jersey,3415780,4.00,4.00,9.75,9.50,0,1.00,3.00,0,0,5.00,0,0,0,0,†,0,0,–,0,1.00,0,0,0,0
STOCKTON CUSD 206,Illinois,1737980,44.00,42.00,13.84,14.50,1.00,2.00,20.00,21.00,0,49.00,–,0,0,0,1.00,1.00,0,–,1.00,–,2.00,–,1.00,–
STOCKTON R-I,Missouri,2929520,80.58,80.90,13.27,13.21,1.00,5.46,26.60,47.52,†,165.72,13.91,1.57,1.00,1.86,†,2.86,2.72,0,2.43,8.00,3.00,0,3.00,47.65
STOCKTON UNIFIED,California,="0638010",1915.39,1915.39,19.91,19.89,–,–,1523.89,391.50,†,2576.84,200.00,–,–,–,†,–,–,–,21.00,–,91.51,–,138.94,210.00
STODDARD SCHOOL DISTRICT,New Hampshire,3306390,4.30,4.30,29.77,11.63,0,="0.50",3.80,0,†,13.00,4.00,–,0,0,†,0,0,="0.10",0,0,="0.60",1.10,–,2.90
STOKES COUNTY SCHOOLS,North Carolina,3704380,493.40,493.40,14.45,14.44,10.50,0,201.05,281.85,0,963.17,124.13,3.79,10.00,14.96,†,24.96,17.00,6.00,11.00,16.34,28.71,37.24,46.29,154.31
STONE BANK SCHOOL DISTRICT,Wisconsin,5509390,25.05,25.05,13.25,13.25,0,2.00,17.62,5.43,0,39.57,1.83,="0.02",="0.43",0,†,="0.43",="0.45",1.48,="0.60",1.00,="0.70",2.34,1.66,4.01
STONE CO SCHOOL DIST,Mississippi,2804170,202.60,198.27,14.27,14.58,1.00,11.41,91.12,70.30,28.77,427.74,60.40,4.30,2.00,5.34,†,7.34,4.50,0,6.91,12.45,12.31,18.40,11.25,87.28
STONE CORRAL ELEMENTARY,California,="0638040",4.00,4.00,35.00,35.00,–,–,4.00,0,†,9.00,2.00,–,–,–,†,–,–,–,0,–,0,–,0,3.00
STONE HARBOR ELEMENTARY SCHOOL,New Jersey,3415810,12.00,11.00,5.08,5.55,0,1.00,7.00,3.00,1.00,21.00,3.00,1.00,0,0,†,0,1.00,–,1.00,1.00,0,0,1.00,1.00
STONEBRIDGE COMMUNITY SCHOOL,Minnesota,2700289,7.50,7.50,18.40,18.40,0,2.00,4.50,0,1.00,13.82,1.00,="0.50",0,0,†,0,0,0,1.07,0,0,1.00,2.25,="0.50"
